Antarctic Ice Vol Discharge (Gigatons per year),Transformed Year,CO2 (ppmv),Temperature (Kelvin)
-2629.9,2516,277.8941176470588,217.42245819962739
-2662.4,2526,277.9,217.4243979090358
-2639.3,2536,277.83773584905657,217.42632890691556
-2677.0,2546,277.77547169811317,217.42825119326665
-2588.5,2556,277.7132075471698,217.43016476808904
-2715.0,2566,277.6509433962264,218.0
-2612.8,2576,277.588679245283,217.43396578314784
-2681.7,2586,277.5264150943396,217.43585322338419
-2626.5,2596,277.4641509433962,217.43773195209192
-2667.5,2606,277.40188679245284,217.43960196927094
-2644.0,2616,277.33962264150944,217.44146327492132
-2621.9,2626,277.27735849056603,217.443315869043
-2659.0,2636,277.2150943396226,217.5
-2673.5,2646,277.1528301886792,217.44699492270033
-2686.5,2656,277.0905660377358,217.44882138223596
-2648.6,2666,277.02830188679246,217.45063913024296
-2647.7,2676,276.96603773584906,217.4524481667213
-2649.0,2686,276.90377358490565,217.45424849167088
-2630.8,2696,276.84150943396224,217.45604010509186
-2708.3,2706,276.77924528301884,217.45782300698414
-2660.9,2716,276.7169811320755,217.45959719734776
-2643.0,2726,276.6547169811321,217.46136267618272
-2688.5,2736,276.5924528301887,217.463119443489
-2604.1,2746,276.53018867924527,217.46486749926657
-2637.1,2756,276.46792452830186,217.46660684351542
-2645.7,2766,276.4056603773585,217.46833747623575
-2628.5,2776,276.3433962264151,217.47005939742726
-2658.0,2786,276.2811320754717,217.47177260709023
-2630.3,2796,276.2188679245283,217.47347710522442
-2641.6,2806,276.1566037735849,217.47517289182994
-2632.2,2816,276.0943396226415,217.47685996690683
-2660.5,2826,276.03207547169814,217.47853833045502
-2642.3,2836,275.96981132075473,217.48020798247452
-2678.9,2846,275.9075471698113,217.48186892296533
-2680.2,2856,275.8452830188679,217.48352115192753
-2644.9,2866,275.7830188679245,217.48516466936104
-2670.8,2876,275.72075471698116,217.48679947526585
-2650.2,2886,275.65849056603776,217.48842556964203
-2631.4,2896,275.59622641509435,217.49004295248946
-2639.0,2906,275.53396226415094,217.49165162380834
-2680.1,2916,275.47169811320754,218.0
-2611.9,2926,275.4094339622642,217.49484283185984
-2683.1,2936,275.3471698113208,217.4964253685926
-2632.3,2946,275.2849056603774,217.49799919379672
-2676.2,2956,275.22264150943397,217.49956430747218
-2655.7,2966,275.16037735849056,217.5011207096189
-2683.8,2976,275.09811320754716,217.50266840023698
-2637.8,2986,275.0358490566038,217.50420737932637
-2627.2,2996,274.9735849056604,217.50573764688713
-2656.2,3006,274.911320754717,217.50725920291916
-2634.6,3016,274.8490566037736,217.50877204742258
-2618.2,3026,274.7867924528302,217.51027618039728
-2634.5,3036,274.72452830188683,217.5117716018433
-2633.8,3046,274.66226415094343,217.5132583117607
-2666.7,3056,274.6,217.51473631014935
-2659.9,3066,274.5586666666667,217.51620559700936
-2637.3,3076,274.51733333333334,217.5176661723407
-2707.6,3086,274.476,217.51911803614337
-2638.8,3096,274.4346666666667,217.5205611884174
-2674.2,3106,274.3933333333334,217.52199562916263
-2628.1,3116,274.35200000000003,217.52342135837932
-2687.6,3126,274.3106666666667,217.52483837606724
-2672.5,3136,274.26933333333335,216.0
-2706.0,3146,274.228,217.52764627685718
-2629.6,3156,274.18666666666667,216.6
-2685.1,3165,274.1453333333333,217.53041933153236
-2669.8,3176,274.10400000000004,217.53179279157698
-2663.2,3186,274.0626666666667,217.53315754009287
-2660.8,3196,274.02133333333336,217.5345135770801
-2769.9,3206,273.98,217.5358609025387
-2699.0,3215,273.9386666666667,217.53719951646855
-2710.5,3226,273.89733333333334,217.5385294188698
-2632.6,3236,273.856,217.53985060974236
-2740.1,3246,273.8146666666667,217.54116308908624
-2657.4,3256,273.77333333333337,217.5424668569014
-2788.2,3265,273.732,217.54376191318792
